orderNumber,orderDate,requiredDate,status,customerNumber,amount,paymentMethod
1,2024-02-16,2024-02-16,Cancelled,417,8740.46,PayPal
2,2024-06-29,2024-06-29,Cancelled,643,4714.62,Bank Transfer
3,2024-01-25,2024-01-25,On Hold,961,9209.17,Credit Card
4,2024-06-06,2024-06-06,Cancelled,319,6905.42,Cash
5,2024-09-09,2024-09-09,Processing,665,3801.79,Cash
6,2024-04-05,2024-04-05,Processing,992,8350.97,Cash
7,2024-10-11,2024-10-11,Shipped,589,2567.81,Credit Card
8,2024-05-25,2024-05-25,On Hold,267,6505.4,PayPal
9,2024-04-12,2024-04-12,Shipped,229,2177.68,Credit Card
10,2024-04-29,2024-04-29,Processing,85,3105.94,Cash
11,2024-11-16,2024-11-16,On Hold,246,7960.74,Bank Transfer
12,2024-09-05,2024-09-05,On Hold,588,283.59,Bank Transfer
13,2024-01-22,2024-01-22,Cancelled,256,8901.95,PayPal
14,2024-06-02,2024-06-02,Processing,8,9782.83,Credit Card
15,2024-01-04,2024-01-04,On Hold,18,568.44,Cash
16,2024-09-30,2024-09-30,Cancelled,974,5956.1,Cash
17,2024-08-28,2024-08-28,Cancelled,150,1166.47,Bank Transfer
18,2024-10-03,2024-10-03,On Hold,914,4309.25,Cash
19,2024-11-10,2024-11-10,Cancelled,665,3865.38,Cash
20,2024-02-12,2024-02-12,Shipped,150,7797.92,PayPal
21,2024-03-26,2024-03-26,Cancelled,448,7558.43,Cash
22,2024-06-21,2024-06-21,Shipped,303,115.55,PayPal
23,2024-01-08,2024-01-08,Shipped,42,9784.6,PayPal
24,2024-04-14,2024-04-14,Processing,571,6143.47,Cash
25,2024-09-15,2024-09-15,On Hold,359,6277.03,Credit Card
26,2024-06-14,2024-06-14,On Hold,418,7092.5,Credit Card
27,2024-07-18,2024-07-18,Cancelled,451,2095.78,Cash
28,2024-10-17,2024-10-17,Cancelled,995,864.64,Bank Transfer
29,2024-06-27,2024-06-27,Shipped,59,6476.74,Bank Transfer
30,2024-07-07,2024-07-07,On Hold,317,6500.13,Cash
31,2024-03-12,2024-03-12,On Hold,335,6623.26,Bank Transfer
32,2024-05-11,2024-05-11,Processing,152,533.53,Cash
33,2024-07-23,2024-07-23,Cancelled,769,8200.9,PayPal
34,2024-09-15,2024-09-15,Processing,82,6711.95,PayPal
35,2024-03-05,2024-03-05,Cancelled,686,3733.37,Bank Transfer
36,2024-07-27,2024-07-27,Cancelled,920,3120.42,PayPal
37,2024-05-03,2024-05-03,Cancelled,554,4479.57,Credit Card
38,2024-03-14,2024-03-14,Cancelled,777,7352.32,Cash
39,2024-09-30,2024-09-30,Cancelled,356,5615.0,Cash
40,2024-03-24,2024-03-24,Processing,488,7825.22,Credit Card
41,2024-11-17,2024-11-17,Cancelled,776,476.25,PayPal
42,2024-11-13,2024-11-13,On Hold,498,2075.06,Bank Transfer
43,2024-05-18,2024-05-18,Shipped,102,6022.85,Credit Card
44,2024-06-08,2024-06-08,Shipped,86,388.61,Cash
45,2024-02-27,2024-02-27,Shipped,42,582.6,Bank Transfer
46,2024-10-02,2024-10-02,On Hold,854,8154.35,Credit Card
47,2024-10-09,2024-10-09,Shipped,303,471.73,PayPal
48,2024-11-14,2024-11-14,Shipped,241,3867.46,Cash
49,2024-03-24,2024-03-24,Shipped,750,2298.6,PayPal
50,2024-01-30,2024-01-30,Cancelled,36,911.91,PayPal
51,2024-10-09,2024-10-09,Cancelled,669,5857.68,Cash
52,2024-11-16,2024-11-16,Shipped,677,5612.06,PayPal
53,2024-08-17,2024-08-17,Cancelled,74,5482.09,Cash
54,2024-11-02,2024-11-02,Processing,173,1547.05,Credit Card
55,2024-04-16,2024-04-16,On Hold,593,603.64,Credit Card
56,2024-03-13,2024-03-13,Cancelled,651,3422.3,Bank Transfer
57,2024-03-15,2024-03-15,Shipped,310,535.61,Credit Card
58,2024-07-12,2024-07-12,Shipped,41,3964.62,Bank Transfer
59,2024-07-07,2024-07-07,On Hold,384,2155.54,PayPal
60,2024-02-20,2024-02-20,On Hold,880,4781.25,PayPal
61,2024-03-07,2024-03-07,On Hold,352,7263.2,PayPal
62,2024-02-19,2024-02-19,On Hold,146,5315.89,Credit Card
63,2024-02-15,2024-02-15,On Hold,13,6105.59,Bank Transfer
64,2024-02-10,2024-02-10,Cancelled,254,8963.48,Bank Transfer
65,2024-01-24,2024-01-24,Cancelled,153,4565.05,PayPal
66,2024-05-24,2024-05-24,Cancelled,954,9182.75,Cash
67,2024-03-20,2024-03-20,Shipped,705,4307.5,Cash
68,2024-04-03,2024-04-03,On Hold,47,8460.85,Bank Transfer
69,2024-09-17,2024-09-17,Cancelled,404,8773.76,Credit Card
70,2024-07-13,2024-07-13,Cancelled,702,1861.91,Cash
71,2024-10-14,2024-10-14,Shipped,700,6470.52,Credit Card
72,2024-08-13,2024-08-13,Cancelled,279,4140.85,Bank Transfer
73,2024-08-12,2024-08-12,Processing,451,664.45,Credit Card
